SPCompIndex,SPCompIndexChange,Dividends,Earnings,CPI,LongInterestRate,RealPrice,RealDiv,RealTotalReturnPrice,RealEarnings,RealTRScaledEarnings,CyclicallyAdjPE,CAPETotal,ExcessCAPEYield,MonthlyBondTotalReturn,RealTotalBondReturn
1480.40,0.04,31.54,86.91,230.28,1.91,1958.82,41.73,1058799.94,114.99,62156.70,21.90,24.19,0.05,1.00,50.18
1512.31,0.02,31.82,87.30,232.17,1.98,1984.79,41.77,1074717.10,114.58,62041.77,22.05,24.37,0.05,1.00,49.54
1550.83,0.02,32.11,87.70,232.77,1.96,2030.04,42.03,1101113.88,114.80,62268.39,22.42,24.78,0.05,1.02,49.58
1570.70,0.01,32.50,88.78,232.53,1.76,2058.19,42.58,1118307.30,116.34,63211.98,22.60,24.98,0.05,0.99,50.62
1639.84,0.04,32.88,89.87,232.95,1.93,2144.97,43.01,1167406.17,117.55,63976.30,23.41,25.88,0.05,0.97,49.83
1618.77,-0.01,33.27,90.95,233.50,2.30,2112.34,43.41,1151616.59,118.68,64703.16,22.93,25.35,0.04,0.98,48.16
1668.68,0.03,33.65,92.09,233.60,2.58,2176.61,43.89,1188649.70,120.12,65598.41,23.49,25.98,0.04,0.99,47.05
1670.09,0.00,34.02,93.23,233.88,2.74,2175.83,44.33,1190241.95,121.46,66443.28,23.36,25.83,0.04,1.00,46.44
1687.17,0.01,34.40,94.37,234.15,2.81,2195.53,44.77,1203058.41,122.80,67291.75,23.44,25.92,0.04,1.02,46.22
1720.03,0.02,34.60,96.31,233.55,2.62,2244.07,45.14,1231717.48,125.66,68970.20,23.83,26.36,0.04,0.99,47.21
1783.54,0.04,34.79,98.26,233.07,2.72,2331.69,45.49,1281891.60,128.45,70620.45,24.64,27.25,0.04,0.99,47.00
1807.78,0.01,34.99,100.20,233.05,2.90,2363.58,45.75,1301521.12,131.01,72139.54,24.86,27.48,0.03,1.01,46.38
1822.36,0.01,35.40,100.42,233.92,2.86,2373.81,46.12,1309271.32,130.80,72144.18,24.86,27.47,0.04,1.02,46.48
1817.04,0.00,35.82,100.63,234.78,2.71,2358.16,46.48,1302776.00,130.60,72151.79,24.59,27.17,0.04,1.00,47.02
1863.52,0.02,36.23,100.85,236.29,2.72,2403.01,46.72,1329702.43,130.05,71960.85,24.96,27.57,0.04,1.00,46.79
1864.26,0.00,36.61,101.61,237.07,2.71,2396.07,47.06,1328029.36,130.59,72380.80,24.79,27.37,0.04,1.02,46.78
1889.77,0.01,37.00,102.36,237.90,2.56,2420.40,47.38,1343704.95,131.11,72784.58,24.94,27.54,0.04,1.00,47.34
1947.09,0.03,37.38,103.12,238.34,2.60,2489.18,47.79,1384099.38,131.83,73303.41,25.56,28.21,0.04,1.01,47.18
1973.10,0.01,37.75,104.07,238.25,2.54,2523.41,48.28,1405373.33,133.09,74123.22,25.82,28.49,0.04,1.01,47.55
1961.53,-0.01,38.12,105.01,237.85,2.42,2512.82,48.83,1401736.66,134.53,75043.99,25.62,28.26,0.04,0.99,48.24
1993.23,0.02,38.49,105.96,238.03,2.53,2551.50,49.27,1425609.17,135.64,75785.31,25.92,28.58,0.04,1.02,47.83
1937.27,-0.03,38.81,104.74,237.43,2.30,2486.12,49.80,1391393.67,134.42,75229.17,25.16,27.74,0.04,1.00,49.03
2044.57,0.05,39.12,103.53,236.15,2.33,2638.06,50.48,1478785.29,133.58,74878.20,26.61,29.32,0.04,1.01,49.26
2054.27,0.00,39.44,102.31,234.81,2.21,2665.69,51.18,1496664.45,132.76,74539.25,26.79,29.52,0.04,1.03,50.17
2028.18,-0.01,39.90,101.29,233.71,1.88,2644.28,52.02,1487076.54,132.06,74266.58,26.49,29.17,0.04,0.99,52.00
2082.20,0.03,40.35,100.27,234.72,1.98,2702.97,52.38,1522537.57,130.16,73319.01,27.00,29.72,0.04,1.00,51.39
2079.99,0.00,40.81,99.25,236.12,2.04,2684.13,52.66,1514395.07,128.08,72261.75,26.73,29.42,0.04,1.01,50.90
2094.86,0.01,41.12,97.80,236.60,1.94,2697.83,52.96,1524617.12,125.95,71180.24,26.79,29.48,0.04,0.98,51.34
2111.94,0.01,41.43,96.36,237.81,2.20,2706.03,53.08,1531752.76,123.46,69885.79,26.81,29.49,0.04,0.99,49.98
2099.29,-0.01,41.74,94.91,238.64,2.36,2680.44,53.29,1519777.13,121.18,68709.92,26.50,29.14,0.03,1.01,49.19
2094.14,0.00,42.00,93.49,238.65,2.32,2673.68,53.62,1518480.60,119.37,67792.89,26.38,29.01,0.03,1.02,49.46
2039.87,-0.03,42.25,92.08,238.32,2.17,2608.09,54.02,1483783.55,117.73,66975.76,25.69,28.25,0.04,1.00,50.29
1944.41,-0.05,42.51,90.66,237.95,2.17,2489.91,54.44,1419132.81,116.09,66168.44,24.50,26.94,0.04,1.01,50.46
2024.81,0.04,42.80,89.28,237.84,2.07,2594.03,54.84,1481082.33,114.38,65307.84,25.49,28.03,0.04,0.98,51.02
2080.62,0.03,43.10,87.91,237.34,2.26,2671.17,55.33,1527757.11,112.86,64548.08,26.23,28.83,0.03,1.00,50.36
2054.08,-0.01,43.39,86.53,236.53,2.24,2646.14,55.90,1516105.04,111.47,63867.31,25.97,28.54,0.03,1.02,50.71
1918.60,-0.07,43.55,86.50,236.92,2.09,2467.53,56.01,1416445.35,111.25,63860.38,24.21,26.61,0.04,1.03,51.40
1904.42,-0.01,43.72,86.47,237.11,1.78,2447.28,56.18,1407507.75,111.12,63907.75,24.00,26.39,0.04,0.99,52.90
