SPCompIndexPercentChange,CPIPercentChange,LongInterestRatePercentChange,RealEarningsPercentChange,CyclicallyAdjPEPercentageChange,CAPETotalPercentageChange,RealTotalBondReturnPercentageChange
0.04,0.002961672,0.110465116,0.001567808,0.031073446,0.031116795,-0.01858009
0.02,0.0082074,0.036649215,-0.003565527,0.006849315,0.007441091,-0.012754085
0.02,0.002584313,-0.01010101,0.001920056,0.016780045,0.016823964,0.000807428
0.01,-0.001031061,-0.102040816,0.013414634,0.008028546,0.008071025,0.0209762
0.04,0.001806219,0.096590909,0.01040055,0.035840708,0.036028823,-0.01560648
-0.01,0.002361022,0.191709845,0.009612931,-0.020504058,-0.020479134,-0.033513947
0.03,0.000428266,0.12173913,0.012133468,0.024422154,0.024852071,-0.023048173
0,0.00119863,0.062015504,0.011155511,-0.00553427,-0.005773672,-0.012964931
0.01,0.001154438,0.025547445,0.011032439,0.003424658,0.003484321,-0.004737295
0.02,-0.00256246,-0.067615658,0.023289902,0.016638225,0.016975309,0.021419299
0.04,-0.002055234,0.038167939,0.022202769,0.033990768,0.033763278,-0.00444821
0.01,-8.58E-05,0.066176471,0.019929934,0.008928571,0.008440367,-0.013191489
0.01,0.003733104,-0.013793103,-0.001602931,0,-0.000363901,0.002156102
0,0.003676471,-0.052447552,-0.001529052,-0.010860821,-0.010921005,0.0116179
0.02,0.006431553,0.003690037,-0.004211332,0.015046767,0.01472212,-0.004891536
0,0.003301028,-0.003676471,0.004152249,-0.006810897,-0.007254262,-0.000213721
0.01,0.003501076,-0.055350554,0.003981928,0.006050827,0.00621118,0.011970928
0.03,0.001849517,0.015625,0.005491572,0.024859663,0.02432825,-0.003379806
0.01,-0.000377612,-0.023076923,0.009557764,0.010172144,0.009925558,0.007842306
-0.01,-0.001678909,-0.047244094,0.010819746,-0.007745933,-0.008073008,0.014511041
0.02,0.000756779,0.045454545,0.008250948,0.011709602,0.011323425,-0.008499171
-0.03,-0.002520691,-0.090909091,-0.008994397,-0.029320988,-0.029391183,0.025088856
0.05,-0.005391063,0.013043478,-0.00624907,0.057631161,0.056957462,0.004691006
0,-0.00567436,-0.051502146,-0.006138644,0.006764374,0.006821282,0.018473406
-0.01,-0.004684639,-0.149321267,-0.005272672,-0.011198208,-0.011856369,0.036475982
0.03,0.004321595,0.053191489,-0.0143874,0.019252548,0.018854988,-0.011730769
0,0.005964554,0.03030303,-0.015980332,-0.01,-0.010094213,-0.009534929
0.01,0.002032865,-0.049019608,-0.016630231,0.002244669,0.002039429,0.008644401
0.01,0.005114117,0.134020619,-0.01976975,0.000746547,0.000339213,-0.026490066
